UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,temp_gap,power,wear_rate,heat_stress,stress_index
2994,M17853,M,300.5,309.8,1370,55.9,143,0,0,0,0,0,0,9.300000000000011,76583.0,0.10437956204379562,519.8700000000006,7993.7
2995,L50174,L,300.5,309.8,1461,52.5,146,0,0,0,0,0,0,9.300000000000011,76702.5,0.0999315537303217,488.25000000000057,7665.0
2996,L50175,L,300.5,309.8,1550,37.4,148,0,0,0,0,0,0,9.300000000000011,57970.0,0.09548387096774194,347.8200000000004,5535.200000000001
2997,M17856,M,300.5,309.8,1508,37.8,150,0,0,0,0,0,0,9.300000000000011,57002.399999999994,0.09946949602122016,351.5400000000004,5669.999999999999
2998,L50177,L,300.5,309.8,1345,62.7,153,0,0,0,0,0,0,9.300000000000011,84331.5,0.1137546468401487,583.1100000000007,9593.1
2999,L50178,L,300.5,309.7,1616,34.5,155,0,0,0,0,0,0,9.199999999999989,55752.0,0.09591584158415842,317.39999999999964,5347.5
3000,L50179,L,300.5,309.7,1395,61.0,157,0,0,0,0,0,0,9.199999999999989,85095.0,0.11254480286738351,561.1999999999994,9577.0
3001,H32414,H,300.5,309.8,1324,72.8,159,1,0,0,1,0,0,9.300000000000011,96387.2,0.12009063444108761,677.0400000000008,11575.199999999999
3002,L50181,L,300.5,309.8,1445,43.9,164,0,0,0,0,0,0,9.300000000000011,63435.5,0.11349480968858132,408.2700000000005,7199.6
3003,M17862,M,300.5,309.8,1555,38.9,166,0,0,0,0,0,0,9.300000000000011,60489.5,0.1067524115755627,361.77000000000044,6457.4
3004,M17863,M,300.6,309.9,1449,42.4,169,0,0,0,0,0,0,9.299999999999955,61437.6,0.11663216011042098,394.31999999999806,7165.599999999999
3005,M17864,M,300.5,309.9,1466,53.2,172,0,0,0,0,0,0,9.399999999999977,77991.2,0.11732605729877217,500.0799999999988,9150.4
3006,L50185,L,300.5,309.9,1503,37.4,175,0,0,0,0,0,0,9.399999999999977,56212.2,0.1164337990685296,351.55999999999915,6544.999999999999
3007,L50186,L,300.4,309.7,1488,35.7,177,0,0,0,0,0,0,9.300000000000011,53121.600000000006,0.11895161290322581,332.01000000000045,6318.900000000001
3008,L50187,L,300.4,309.7,1314,50.2,179,0,0,0,0,0,0,9.300000000000011,65962.8,0.13622526636225266,466.8600000000006,8985.8
3009,M17868,M,300.4,309.7,1547,38.0,181,0,0,0,0,0,0,9.300000000000011,58786.0,0.11700064641241112,353.40000000000043,6878.0
3010,M17869,M,300.4,309.7,1466,39.8,184,0,0,0,0,0,0,9.300000000000011,58346.799999999996,0.12551159618008187,370.14000000000044,7323.2
3011,L50190,L,300.3,309.6,1537,37.1,187,0,0,0,0,0,0,9.300000000000011,57022.700000000004,0.12166558230318802,345.0300000000004,6937.700000000001
3012,M17871,M,300.2,309.5,1434,51.5,189,0,0,0,0,0,0,9.300000000000011,73851.0,0.13179916317991633,478.9500000000006,9733.5
3013,L50192,L,300.4,309.6,1432,44.7,192,0,0,0,0,0,0,9.200000000000045,64010.4,0.1340782122905028,411.24000000000206,8582.4
3014,L50193,L,300.5,309.6,1390,48.4,194,0,0,0,0,0,0,9.100000000000023,67276.0,0.13956834532374102,440.4400000000011,9389.6
3015,L50194,L,300.5,309.7,1580,42.8,196,0,0,0,0,0,0,9.199999999999989,67624.0,0.1240506329113924,393.7599999999995,8388.8
3016,L50195,L,300.5,309.7,1589,30.5,198,0,0,0,0,0,0,9.199999999999989,48464.5,0.12460667086217747,280.5999999999997,6039.0
3017,L50196,L,300.5,309.8,1441,48.8,200,0,0,0,0,0,0,9.300000000000011,70320.8,0.13879250520471895,453.84000000000054,9760.0
3018,L50197,L,300.5,309.8,1305,51.7,202,0,0,0,0,0,0,9.300000000000011,67468.5,0.15478927203065135,480.8100000000006,10443.4
3019,M17878,M,300.5,309.8,1566,35.9,204,0,0,0,0,0,0,9.300000000000011,56219.399999999994,0.13026819923371646,333.8700000000004,7323.5999999999985
3020,L50199,L,300.5,309.8,1379,54.2,207,1,0,0,0,1,0,9.300000000000011,74741.8,0.15010877447425672,504.0600000000006,11219.400000000001
3021,L50200,L,300.4,309.6,1543,38.1,209,0,0,0,0,0,0,9.200000000000045,58788.3,0.13545042125729098,350.52000000000174,7962.9
3022,L50201,L,300.5,309.8,1421,49.6,211,0,0,0,0,0,0,9.300000000000011,70481.6,0.14848698099929628,461.2800000000006,10465.6
3023,L50202,L,300.5,309.6,1760,30.6,213,0,0,0,0,0,0,9.100000000000023,53856.0,0.12102272727272727,278.4600000000007,6517.8
3024,L50203,L,300.4,309.5,1711,29.2,215,0,0,0,0,0,0,9.100000000000023,49961.2,0.1256575102279369,265.72000000000065,6278.0
3025,L50204,L,300.5,309.6,1465,41.6,217,0,0,0,0,0,0,9.100000000000023,60944.0,0.14812286689419796,378.56000000000097,9027.2
3026,L50205,L,300.5,309.6,1366,50.2,219,0,0,0,0,0,0,9.100000000000023,68573.2,0.1603221083455344,456.8200000000012,10993.8
3027,M17886,M,300.4,309.5,1888,21.9,221,0,0,0,0,0,0,9.100000000000023,41347.2,0.1170550847457627,199.29000000000048,4839.9
3028,L50207,L,300.5,309.5,1777,23.6,0,0,0,0,0,0,0,9.0,41937.200000000004,0.0,212.4,0.0
3029,L50208,L,300.5,309.5,1379,55.6,2,0,0,0,0,0,0,9.0,76672.40000000001,0.0014503263234227702,500.40000000000003,111.20000000000002
3030,L50209,L,300.4,309.5,1525,51.3,4,0,0,0,0,0,0,9.100000000000023,78232.5,0.002622950819672131,466.8300000000011,205.2
3031,M17890,M,300.4,309.6,1563,34.0,6,0,0,0,0,0,0,9.200000000000045,53142.0,0.003838771593090211,312.80000000000155,204.0
3032,M17891,M,300.5,309.7,1389,43.3,9,0,0,0,0,0,0,9.199999999999989,60143.7,0.0064794816414686825,398.3599999999995,389.7
3033,M17892,M,300.6,309.8,1447,42.9,12,0,0,0,0,0,0,9.199999999999989,62076.299999999996,0.0082930200414651,394.6799999999995,514.8
3034,M17893,M,300.6,309.7,1934,22.8,15,0,0,0,0,0,0,9.099999999999966,44095.200000000004,0.0077559462254395035,207.47999999999922,342.00000000000006
3035,H32448,H,300.6,309.7,1470,43.8,18,0,0,0,0,0,0,9.099999999999966,64385.99999999999,0.012244897959183673,398.5799999999985,788.3999999999999
3036,M17895,M,300.6,309.7,1428,42.6,23,0,0,0,0,0,0,9.099999999999966,60832.8,0.01610644257703081,387.65999999999855,979.8
3037,L50216,L,300.4,309.6,1319,48.1,26,0,0,0,0,0,0,9.200000000000045,63443.9,0.019711902956785442,442.5200000000022,1250.6
3038,L50217,L,300.5,309.7,1887,24.3,28,0,0,0,0,0,0,9.199999999999989,45854.1,0.01483836777954425,223.55999999999972,680.4
3039,L50218,L,300.4,309.5,1349,50.4,30,0,0,0,0,0,0,9.100000000000023,67989.59999999999,0.02223869532987398,458.6400000000011,1511.9999999999998
3040,M17899,M,300.3,309.5,1665,31.4,32,0,0,0,0,0,0,9.199999999999989,52281.0,0.01921921921921922,288.87999999999965,1004.8
3041,L50220,L,300.3,309.5,1474,38.7,35,0,0,0,0,0,0,9.199999999999989,57043.8,0.023744911804613297,356.03999999999957,1354.5
3042,L50221,L,300.4,309.5,1543,38.9,37,0,0,0,0,0,0,9.100000000000023,60022.7,0.023979261179520414,353.99000000000086,1439.3
3043,M17902,M,300.2,309.4,1459,43.9,39,0,0,0,0,0,0,9.199999999999989,64050.1,0.026730637422892393,403.8799999999995,1712.1
3044,L50223,L,300.3,309.5,1551,37.9,42,0,0,0,0,0,0,9.199999999999989,58782.899999999994,0.027079303675048357,348.67999999999955,1591.8
3045,L50224,L,300.2,309.4,1981,21.4,44,0,0,0,0,0,0,9.199999999999989,42393.399999999994,0.02221100454316002,196.87999999999974,941.5999999999999
3046,L50225,L,300.2,309.4,1526,35.3,46,0,0,0,0,0,0,9.199999999999989,53867.799999999996,0.03014416775884666,324.7599999999996,1623.8
3047,M17906,M,300.2,309.4,1501,40.0,48,0,0,0,0,0,0,9.199999999999989,60040.0,0.031978680879413725,367.99999999999955,1920.0
3048,L50227,L,300.2,309.4,1558,38.3,51,0,0,0,0,0,0,9.199999999999989,59671.399999999994,0.03273427471116817,352.35999999999956,1953.3
3049,L50228,L,300.2,309.3,1532,43.2,53,0,0,0,0,0,0,9.100000000000023,66182.40000000001,0.034595300261096605,393.120000000001,2289.6000000000004
3050,L50229,L,300.1,309.2,1326,55.9,55,0,0,0,0,0,0,9.099999999999966,74123.4,0.04147812971342383,508.68999999999807,3074.4999999999995
3051,L50230,L,300.2,309.2,1431,51.3,57,0,0,0,0,0,0,9.0,73410.3,0.039832285115303984,461.7,2924.1000000000004
3052,L50231,L,300.2,309.3,1366,49.3,59,0,0,0,0,0,0,9.100000000000023,67343.8,0.04319180087847731,448.6300000000011,2908.7000000000003
3053,L50232,L,300.1,309.2,1421,42.5,61,0,0,0,0,0,0,9.099999999999966,60392.5,0.04292751583391977,386.7499999999985,2592.5
3054,H32467,H,300.2,309.3,1506,35.6,63,0,0,0,0,0,0,9.100000000000023,53613.6,0.04183266932270916,323.96000000000083,2242.7999999999997
3055,H32468,H,300.2,309.3,1342,48.7,68,0,0,0,0,0,0,9.100000000000023,65355.4,0.05067064083457526,443.17000000000115,3311.6
3056,L50235,L,300.1,309.2,1427,37.6,73,0,0,0,0,0,0,9.099999999999966,53655.200000000004,0.051156271899089,342.1599999999987,2744.8
3057,L50236,L,300.2,309.2,1667,29.9,75,0,0,0,0,0,0,9.0,49843.299999999996,0.04499100179964007,269.09999999999997,2242.5
3058,L50237,L,300.1,309.1,1400,46.7,77,0,0,0,0,0,0,9.0,65380.00000000001,0.055,420.3,3595.9000000000005
3059,L50238,L,300.0,309.0,1709,32.1,79,0,0,0,0,0,0,9.0,54858.9,0.04622586307782329,288.90000000000003,2535.9
3060,M17919,M,300.0,309.0,1368,45.8,81,0,0,0,0,0,0,9.0,62654.399999999994,0.05921052631578947,412.2,3709.7999999999993
3061,L50240,L,300.0,309.1,1882,23.8,84,0,0,0,0,0,0,9.100000000000023,44791.6,0.044633368756641874,216.58000000000055,1999.2
3062,L50241,L,300.1,309.1,1353,58.7,86,0,0,0,0,0,0,9.0,79421.1,0.06356245380635625,528.3000000000001,5048.200000000001
3063,L50242,L,299.9,309.0,1553,40.0,88,0,0,0,0,0,0,9.100000000000023,62120.0,0.056664520283322604,364.0000000000009,3520.0
3064,L50243,L,300.0,309.1,1431,45.4,90,0,0,0,0,0,0,9.100000000000023,64967.4,0.06289308176100629,413.140000000001,4086.0
3065,M17924,M,300.1,309.1,1731,30.4,92,0,0,0,0,0,0,9.0,52622.399999999994,0.05314846909300982,273.59999999999997,2796.7999999999997
3066,M17925,M,300.1,309.2,1687,27.7,95,0,0,0,0,0,1,9.099999999999966,46729.9,0.056312981624184945,252.06999999999906,2631.5
3067,M17926,M,300.1,309.2,1457,44.3,98,0,0,0,0,0,0,9.099999999999966,64545.1,0.06726149622512011,403.12999999999846,4341.4
3068,L50247,L,300.1,309.2,1533,37.0,101,0,0,0,0,0,0,9.099999999999966,56721.0,0.06588388780169602,336.69999999999874,3737.0
3069,H32482,H,300.0,309.0,1622,31.8,103,0,0,0,0,0,0,9.0,51579.6,0.06350184956843404,286.2,3275.4
3070,L50249,L,300.0,309.1,1791,28.2,108,0,0,0,0,0,0,9.100000000000023,50506.2,0.06030150753768844,256.62000000000063,3045.6
3071,L50250,L,300.0,309.1,1631,28.3,110,0,0,0,0,0,0,9.100000000000023,46157.3,0.0674432863274065,257.53000000000065,3113.0
3072,L50251,L,300.0,309.0,2174,16.9,112,0,0,0,0,0,0,9.0,36740.6,0.051517939282428704,152.1,1892.8
3073,L50252,L,300.1,309.0,1314,58.2,114,0,0,0,0,0,0,8.899999999999977,76474.8,0.0867579908675799,517.9799999999987,6634.8
3074,L50253,L,300.1,309.1,1478,46.9,116,0,0,0,0,0,0,9.0,69318.2,0.07848443843031123,422.09999999999997,5440.4
3075,L50254,L,300.1,309.2,1783,27.3,118,0,0,0,0,0,0,9.099999999999966,48675.9,0.06618059450364554,248.42999999999907,3221.4
3076,M17935,M,300.1,309.2,1385,46.1,120,0,0,0,0,0,0,9.099999999999966,63848.5,0.08664259927797834,419.50999999999846,5532.0
3077,L50256,L,300.0,309.2,1444,43.6,123,0,0,0,0,0,0,9.199999999999989,62958.4,0.08518005540166206,401.1199999999995,5362.8
3078,L50257,L,300.1,309.3,1841,23.0,125,0,0,0,0,0,0,9.199999999999989,42343.0,0.06789788158609451,211.59999999999974,2875.0
3079,M17938,M,300.1,309.4,1349,56.2,127,0,0,0,0,0,0,9.299999999999955,75813.8,0.09414381022979985,522.6599999999975,7137.400000000001
3080,L50259,L,300.1,309.3,1340,56.0,130,0,0,0,0,0,0,9.199999999999989,75040.0,0.09701492537313433,515.1999999999994,7280.0
3081,M17940,M,299.9,309.2,1539,43.2,132,0,0,0,0,0,0,9.300000000000011,66484.8,0.08576998050682261,401.7600000000005,5702.4
3082,M17941,M,300.0,309.3,1932,21.8,135,0,0,0,0,0,0,9.300000000000011,42117.6,0.06987577639751552,202.74000000000026,2942.9999999999995
3083,M17942,M,300.0,309.3,1407,43.9,138,0,0,0,0,0,0,9.300000000000011,61767.299999999996,0.09808102345415778,408.2700000000005,6058.2
3084,L50263,L,300.1,309.3,1712,28.5,141,0,0,0,0,0,0,9.199999999999989,48792.0,0.08235981308411215,262.1999999999997,4018.5
3085,H32498,H,300.1,309.4,1329,55.2,143,0,0,0,0,0,0,9.299999999999955,73360.8,0.10759969902182091,513.3599999999975,7893.6
3086,L50265,L,300.1,309.2,1441,42.9,148,0,0,0,0,0,0,9.099999999999966,61818.9,0.10270645385149202,390.3899999999985,6349.2
3087,L50266,L,300.0,309.2,1610,32.1,150,0,0,0,0,0,0,9.199999999999989,51681.0,0.09316770186335403,295.31999999999965,4815.0
3088,M17947,M,300.0,309.1,1474,45.2,152,0,0,0,0,0,0,9.100000000000023,66624.8,0.10312075983717775,411.3200000000011,6870.400000000001
3089,M17948,M,300.0,309.1,1624,30.8,155,0,0,0,0,0,0,9.100000000000023,50019.200000000004,0.09544334975369458,280.2800000000007,4774.0
3090,H32503,H,300.1,309.3,1520,38.2,158,0,0,0,0,0,0,9.199999999999989,58064.00000000001,0.10394736842105264,351.4399999999996,6035.600000000001
3091,H32504,H,300.1,309.3,1448,45.8,163,0,0,0,0,0,0,9.199999999999989,66318.4,0.11256906077348067,421.35999999999945,7465.4
3092,L50271,L,300.0,309.3,1558,29.7,168,0,0,0,0,0,0,9.300000000000011,46272.6,0.10783055198973042,276.2100000000003,4989.599999999999
3093,M17952,M,300.0,309.3,2293,16.3,170,0,0,0,0,0,0,9.300000000000011,37375.9,0.07413868294810293,151.5900000000002,2771.0000000000005
3094,L50273,L,300.0,309.3,1397,51.2,173,0,0,0,0,0,0,9.300000000000011,71526.40000000001,0.12383679312813171,476.1600000000006,8857.600000000002
3095,L50274,L,300.0,309.3,1972,22.0,175,0,0,0,0,0,0,9.300000000000011,43384.0,0.08874239350912778,204.60000000000025,3850.0
3096,M17955,M,299.9,309.2,1574,36.5,177,0,0,0,0,0,0,9.300000000000011,57451.0,0.11245235069885642,339.4500000000004,6460.5
3097,L50276,L,299.9,309.2,1560,38.9,180,0,0,0,0,0,0,9.300000000000011,60684.0,0.11538461538461539,361.77000000000044,7002.0
3098,M17957,M,299.9,309.2,1353,49.8,182,0,0,0,0,0,0,9.300000000000011,67379.4,0.1345158906134516,463.14000000000055,9063.6
3099,M17958,M,299.9,309.2,1389,51.2,185,0,0,0,0,0,0,9.300000000000011,71116.8,0.1331893448524118,476.1600000000006,9472.0
3100,M17959,M,299.9,309.1,1513,43.8,188,0,0,0,0,0,0,9.200000000000045,66269.4,0.12425644415069398,402.96000000000197,8234.4
3101,L50280,L,299.8,309.1,1578,42.1,191,0,0,0,0,0,0,9.300000000000011,66433.8,0.12103929024081116,391.5300000000005,8041.1
3102,H32515,H,299.8,309.0,1467,37.3,193,0,0,0,0,0,0,9.199999999999989,54719.1,0.13156100886162236,343.15999999999957,7198.900000000001
3103,L50282,L,299.9,309.1,1412,48.3,198,0,0,0,0,0,0,9.200000000000045,68199.59999999999,0.14022662889518414,444.3600000000022,9563.4
3104,L50283,L,299.8,309.1,1668,30.3,200,0,0,0,0,0,0,9.300000000000011,50540.4,0.11990407673860912,281.79000000000036,6060.0
3105,M17964,M,299.8,309.2,1678,29.8,202,0,0,0,0,0,0,9.399999999999977,50004.4,0.12038140643623362,280.1199999999993,6019.6
3106,L50285,L,299.8,309.1,1612,35.4,205,0,0,0,0,0,0,9.300000000000011,57064.799999999996,0.1271712158808933,329.22000000000037,7257.0
3107,L50286,L,299.8,309.1,1485,39.9,207,0,0,0,0,0,0,9.300000000000011,59251.5,0.1393939393939394,371.07000000000045,8259.300000000001
3108,M17967,M,299.8,309.1,1456,39.4,209,0,0,0,0,0,0,9.300000000000011,57366.4,0.14354395604395603,366.4200000000004,8234.6
3109,L50288,L,299.8,309.2,1504,38.7,212,0,0,0,0,0,0,9.399999999999977,58204.8,0.14095744680851063,363.7799999999991,8204.4
3110,L50289,L,299.9,309.2,1491,44.3,214,0,0,0,0,0,0,9.300000000000011,66051.3,0.14352783366867874,411.99000000000046,9480.2
3111,H32524,H,299.9,309.2,1525,33.2,0,0,0,0,0,0,0,9.300000000000011,50630.00000000001,0.0,308.7600000000004,0.0
3112,L50291,L,300.0,309.2,1759,27.9,5,0,0,0,0,0,0,9.199999999999989,49076.1,0.0028425241614553724,256.67999999999967,139.5
3113,M17972,M,299.8,309.1,1355,56.7,7,0,0,0,0,0,0,9.300000000000011,76828.5,0.0051660516605166054,527.3100000000006,396.90000000000003
3114,M17973,M,299.9,309.1,1345,56.8,10,0,0,0,0,0,0,9.200000000000045,76396.0,0.007434944237918215,522.5600000000026,568.0
3115,M17974,M,299.9,309.2,1683,30.5,13,0,0,0,0,0,0,9.300000000000011,51331.5,0.007724301841948901,283.6500000000003,396.5
3116,L50295,L,299.9,309.2,1658,34.8,16,0,0,0,0,0,0,9.300000000000011,57698.399999999994,0.009650180940892641,323.6400000000004,556.8
3117,L50296,L,300.0,309.2,1566,34.4,18,0,0,0,0,0,0,9.199999999999989,53870.399999999994,0.011494252873563218,316.4799999999996,619.1999999999999
3118,M17977,M,300.1,309.3,1469,43.9,20,0,0,0,0,0,0,9.199999999999989,64489.1,0.013614703880190605,403.8799999999995,877.9999999999999
3119,M17978,M,300.2,309.5,1458,46.9,23,0,0,0,0,0,0,9.300000000000011,68380.2,0.01577503429355281,436.1700000000005,1078.6999999999998
3120,L50299,L,300.1,309.4,1858,23.6,26,0,0,0,0,0,0,9.299999999999955,43848.8,0.013993541442411194,219.47999999999894,613.6
3121,H32534,H,300.1,309.4,1563,40.8,28,0,0,0,0,0,0,9.299999999999955,63770.399999999994,0.017914267434420986,379.4399999999981,1142.3999999999999
3122,L50301,L,300.1,309.4,2141,17.9,33,0,0,0,0,0,0,9.299999999999955,38323.899999999994,0.015413358243811303,166.46999999999917,590.6999999999999
3123,L50302,L,300.0,309.3,1473,46.0,35,0,0,0,0,0,0,9.300000000000011,67758.0,0.02376103190767142,427.8000000000005,1610.0
3124,H32537,H,300.0,309.4,1498,38.5,37,0,0,0,0,0,0,9.399999999999977,57673.0,0.024699599465954607,361.8999999999991,1424.5
3125,L50304,L,300.1,309.4,1568,39.7,42,0,0,0,0,0,0,9.299999999999955,62249.600000000006,0.026785714285714284,369.2099999999982,1667.4
3126,L50305,L,300.1,309.4,1694,27.4,44,0,0,0,0,0,0,9.299999999999955,46415.6,0.025974025974025976,254.81999999999874,1205.6000000000001
3127,L50306,L,300.0,309.4,1499,35.7,46,0,0,0,0,0,0,9.399999999999977,53514.3,0.030687124749833223,335.5799999999992,1642.2
3128,L50307,L,300.0,309.5,1717,28.3,48,0,0,0,0,0,0,9.5,48591.1,0.027955736750145604,268.85,1358.4
3129,M17988,M,300.1,309.5,1462,42.8,50,0,0,0,0,0,0,9.399999999999977,62573.6,0.03419972640218878,402.319999999999,2140.0
3130,L50309,L,300.1,309.6,1642,34.5,53,0,0,0,0,0,0,9.5,56649.0,0.03227771010962241,327.75,1828.4999999999998
3131,L50310,L,300.1,309.6,1760,25.4,55,0,0,0,0,0,0,9.5,44704.0,0.03125,241.29999999999998,1397.0
3132,L50311,L,300.1,309.5,1660,32.7,57,0,0,0,0,0,0,9.399999999999977,54282.00000000001,0.03433734939759036,307.37999999999926,1863.9
3133,L50312,L,300.1,309.5,1557,40.6,59,0,0,0,0,0,0,9.399999999999977,63214.200000000004,0.03789338471419396,381.6399999999991,2395.4
3134,H32547,H,300.2,309.6,1442,49.2,61,0,0,0,0,0,0,9.400000000000034,70946.40000000001,0.04230235783633842,462.4800000000017,3001.2000000000007
3135,L50314,L,300.2,309.6,1359,51.5,66,0,0,0,0,0,0,9.400000000000034,69988.5,0.04856512141280353,484.1000000000017,3399.0
3136,L50315,L,300.4,309.8,1342,52.5,68,0,0,0,0,0,0,9.400000000000034,70455.0,0.05067064083457526,493.5000000000018,3570.0
3137,L50316,L,300.4,309.9,1435,54.8,70,0,0,0,0,0,0,9.5,78638.0,0.04878048780487805,520.6,3836.0
3138,L50317,L,300.4,309.9,1567,36.5,72,0,0,0,0,0,0,9.5,57195.5,0.04594767070835992,346.75,2628.0
3139,L50318,L,300.4,309.9,1376,43.5,74,0,0,0,0,0,0,9.5,59856.0,0.05377906976744186,413.25,3219.0
3140,H32553,H,300.4,309.9,1513,38.7,76,0,0,0,0,0,0,9.5,58553.100000000006,0.05023132848645076,367.65000000000003,2941.2000000000003
3141,H32554,H,300.4,309.9,2563,12.8,81,1,0,0,1,0,0,9.5,32806.4,0.03160358954350371,121.60000000000001,1036.8000000000002
3142,L50321,L,300.5,310.0,1521,45.1,86,0,0,0,0,0,0,9.5,68597.1,0.05654174884944116,428.45,3878.6000000000004
3143,L50322,L,300.6,310.0,1658,34.7,88,0,0,0,0,0,0,9.399999999999977,57532.600000000006,0.05307599517490953,326.1799999999992,3053.6000000000004
3144,H32557,H,300.6,310.0,1419,42.4,90,0,0,0,0,0,0,9.399999999999977,60165.6,0.06342494714587738,398.55999999999904,3815.9999999999995
3145,M18004,M,300.6,310.0,1478,36.3,95,0,0,0,0,0,0,9.399999999999977,53651.399999999994,0.06427604871447902,341.2199999999992,3448.499999999999
3146,M18005,M,300.5,310.0,1415,43.5,98,0,0,0,0,0,0,9.5,61552.5,0.06925795053003533,413.25,4263.0
3147,M18006,M,300.5,309.9,1780,26.5,101,0,0,0,0,0,0,9.399999999999977,47170.0,0.056741573033707866,249.0999999999994,2676.5
3148,M18007,M,300.4,309.7,1440,42.8,104,0,0,0,0,0,0,9.300000000000011,61631.99999999999,0.07222222222222222,398.0400000000005,4451.199999999999
3149,H32562,H,300.4,309.8,1448,39.7,107,0,0,0,0,0,0,9.400000000000034,57485.600000000006,0.0738950276243094,373.18000000000137,4247.900000000001
3150,H32563,H,300.4,309.7,1500,35.2,112,0,0,0,0,0,0,9.300000000000011,52800.00000000001,0.07466666666666667,327.3600000000004,3942.400000000001
3151,L50330,L,300.4,309.8,1513,32.9,117,0,0,0,0,0,0,9.400000000000034,49777.7,0.07732980832782552,309.2600000000011,3849.3
3152,L50331,L,300.5,309.8,1428,43.8,119,0,0,0,0,0,0,9.300000000000011,62546.399999999994,0.08333333333333333,407.3400000000005,5212.199999999999
3153,M18012,M,300.5,309.8,1473,42.3,121,0,0,0,0,0,0,9.300000000000011,62307.899999999994,0.08214528173794976,393.39000000000044,5118.299999999999
3154,M18013,M,300.5,309.9,1483,49.3,124,0,0,0,0,0,0,9.399999999999977,73111.9,0.08361429534726905,463.4199999999989,6113.2
3155,L50334,L,300.4,309.7,1534,42.5,127,0,0,0,0,0,0,9.300000000000011,65195.0,0.08279009126466753,395.25000000000045,5397.5
3156,L50335,L,300.5,309.8,1367,54.0,129,0,0,0,0,0,0,9.300000000000011,73818.0,0.09436722750548647,502.2000000000006,6966.0
3157,L50336,L,300.4,309.7,1467,36.9,131,0,0,0,0,0,0,9.300000000000011,54132.299999999996,0.08929788684389911,343.1700000000004,4833.9
3158,M18017,M,300.4,309.7,1488,42.2,133,0,0,0,0,0,0,9.300000000000011,62793.600000000006,0.08938172043010753,392.4600000000005,5612.6
3159,L50338,L,300.4,309.7,1679,30.1,136,0,0,0,0,0,0,9.300000000000011,50537.9,0.08100059559261465,279.93000000000035,4093.6
3160,H32573,H,300.4,309.8,1409,47.5,138,0,0,0,0,0,0,9.400000000000034,66927.5,0.09794180269694819,446.5000000000016,6555.0
3161,M18020,M,300.4,309.7,1367,51.2,143,0,0,0,0,0,0,9.300000000000011,69990.40000000001,0.10460863204096561,476.1600000000006,7321.6
3162,L50341,L,300.4,309.8,1314,63.1,146,0,0,0,0,0,0,9.400000000000034,82913.40000000001,0.1111111111111111,593.1400000000021,9212.6
3163,L50342,L,300.5,309.9,1480,40.0,148,0,0,0,0,0,0,9.399999999999977,59200.0,0.1,375.9999999999991,5920.0
3164,L50343,L,300.4,309.8,1549,38.9,150,0,0,0,0,0,0,9.400000000000034,60256.1,0.09683666881859264,365.66000000000133,5835.0
3165,L50344,L,300.4,309.7,1685,31.3,152,0,0,0,0,0,0,9.300000000000011,52740.5,0.09020771513353115,291.0900000000004,4757.599999999999
3166,L50345,L,300.4,309.6,1536,34.5,154,0,0,0,0,0,0,9.200000000000045,52992.0,0.10026041666666667,317.40000000000157,5313.0
3167,M18026,M,300.4,309.7,1539,37.7,156,0,0,0,0,0,0,9.300000000000011,58020.3,0.10136452241715399,350.61000000000047,5881.2
3168,L50347,L,300.4,309.7,1384,45.1,159,0,0,0,0,0,0,9.300000000000011,62418.4,0.11488439306358382,419.4300000000005,7170.900000000001
3169,M18028,M,300.4,309.6,1614,30.3,161,0,0,0,0,0,0,9.200000000000045,48904.200000000004,0.09975216852540272,278.7600000000014,4878.3
3170,M18029,M,300.4,309.6,1675,35.5,164,0,0,0,0,0,0,9.200000000000045,59462.5,0.09791044776119404,326.6000000000016,5822.0
3171,M18030,M,300.4,309.7,1685,32.3,167,0,0,0,0,0,0,9.300000000000011,54425.49999999999,0.09910979228486647,300.3900000000003,5394.099999999999
3172,L50351,L,300.4,309.6,1386,56.9,170,0,0,0,0,0,0,9.200000000000045,78863.4,0.12265512265512266,523.4800000000025,9673.0
3173,M18032,M,300.3,309.6,1488,41.3,172,0,0,0,0,0,0,9.300000000000011,61454.399999999994,0.11559139784946236,384.09000000000043,7103.5999999999985
3174,L50353,L,300.3,309.6,1624,32.6,175,0,0,0,0,0,0,9.300000000000011,52942.4,0.10775862068965517,303.1800000000004,5705.0
3175,L50354,L,300.3,309.6,1600,34.6,177,0,0,0,0,0,0,9.300000000000011,55360.0,0.110625,321.7800000000004,6124.2
3176,L50355,L,300.3,309.6,1468,44.7,179,0,0,0,0,0,0,9.300000000000011,65619.6,0.12193460490463215,415.71000000000055,8001.3
3177,L50356,L,300.3,309.6,1435,45.4,181,0,0,0,0,0,0,9.300000000000011,65149.0,0.12613240418118468,422.2200000000005,8217.400000000001
3178,M18037,M,300.2,309.5,1564,33.4,183,0,0,0,0,0,0,9.300000000000011,52237.6,0.1170076726342711,310.62000000000035,6112.2
3179,M18038,M,300.2,309.4,1329,53.6,186,0,0,0,0,0,0,9.199999999999989,71234.40000000001,0.1399548532731377,493.1199999999994,9969.6
3180,L50359,L,300.1,309.3,1570,36.8,189,0,0,0,0,0,0,9.199999999999989,57775.99999999999,0.12038216560509554,338.55999999999955,6955.199999999999
